inc,purpose,mode,cost,tod,hov,leg,transpose,peak,pct_wage,category,pct_hb,hov_adj,trip_file,cost_file,dbtable,aggregate_to,rollup_dbtable,rollup_to
Inc1,HBW,WRail,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WRail.csv,TRANSIT_PK_WRail_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WCRail,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WCRail.csv,TRANSIT_PK_WCRail_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WBus,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WBus.csv,TRANSIT_PK_WBus_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DexpBus,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DexpBus.csv,TRANSIT_PK_DexpBus_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DRail,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DRail.csv,TRANSIT_PK_DRail_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DCRail,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DCRail.csv,TRANSIT_PK_DCRail_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DBus,WalkTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DBus.csv,TRANSIT_PK_DBus_WalkTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WexpBus,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WexpBus.csv (^T),TRANSIT_PK_WexpBus_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WRail,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WRail.csv (^T),TRANSIT_PK_WRail_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WCRail,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WCRail.csv (^T),TRANSIT_PK_WCRail_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WBus,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WBus.csv (^T),TRANSIT_PK_WBus_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DexpBus,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DexpBus.csv (^T),TRANSIT_PK_DexpBus_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DRail,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DRail.csv (^T),TRANSIT_PK_DRail_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DCRail,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DCRail.csv (^T),TRANSIT_PK_DCRail_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,DBus,WalkTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DBus.csv (^T),TRANSIT_PK_DBus_WalkTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_WalkTime,Inc1_NTDlta_Costs,Inc1_WalkTime
Inc1,HBW,WexpBus,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WexpBus.csv,TRANSIT_PK_WexpBus_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WRail,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WRail.csv,TRANSIT_PK_WRail_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WCRail,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WCRail.csv,TRANSIT_PK_WCRail_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WBus,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WBus.csv,TRANSIT_PK_WBus_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DexpBus,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DexpBus.csv,TRANSIT_PK_DexpBus_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DRail,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DRail.csv,TRANSIT_PK_DRail_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DCRail,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DCRail.csv,TRANSIT_PK_DCRail_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DBus,RailTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DBus.csv,TRANSIT_PK_DBus_RailTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WexpBus,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WexpBus.csv (^T),TRANSIT_PK_WexpBus_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WRail,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WRail.csv (^T),TRANSIT_PK_WRail_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WCRail,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WCRail.csv (^T),TRANSIT_PK_WCRail_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WBus,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WBus.csv (^T),TRANSIT_PK_WBus_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DexpBus,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DexpBus.csv (^T),TRANSIT_PK_DexpBus_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DRail,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DRail.csv (^T),TRANSIT_PK_DRail_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DCRail,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DCRail.csv (^T),TRANSIT_PK_DCRail_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,DBus,RailTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DBus.csv (^T),TRANSIT_PK_DBus_RailTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_RailTime,Inc1_NTDlta_Costs,Inc1_RailTime
Inc1,HBW,WexpBus,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WexpBus.csv,TRANSIT_PK_WexpBus_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WRail,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WRail.csv,TRANSIT_PK_WRail_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WCRail,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WCRail.csv,TRANSIT_PK_WCRail_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WBus,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_WBus.csv,TRANSIT_PK_WBus_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DexpBus,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DexpBus.csv,TRANSIT_PK_DexpBus_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DRail,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DRail.csv,TRANSIT_PK_DRail_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DCRail,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DCRail.csv,TRANSIT_PK_DCRail_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DBus,BusTime,,,Outbound,0,1,50,Time,100,,MODE_HBW_Inc1_DBus.csv,TRANSIT_PK_DBus_BusTime.csv  (50%|100%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WexpBus,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WexpBus.csv (^T),TRANSIT_PK_WexpBus_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WRail,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WRail.csv (^T),TRANSIT_PK_WRail_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WCRail,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WCRail.csv (^T),TRANSIT_PK_WCRail_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WBus,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_WBus.csv (^T),TRANSIT_PK_WBus_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DexpBus,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DexpBus.csv (^T),TRANSIT_PK_DexpBus_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DRail,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DRail.csv (^T),TRANSIT_PK_DRail_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DCRail,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DCRail.csv (^T),TRANSIT_PK_DCRail_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,DBus,BusTime,,,Return,1,1,50,Time,0,,MODE_HBW_Inc1_DBus.csv (^T),TRANSIT_PK_DBus_BusTime.csv  (50%|0%),Inc1_NTDlta_Benefits,Inc1_BusTime,Inc1_NTDlta_Costs,Inc1_BusTime
Inc1,HBW,WexpBus,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WexpBus.csv,TRANSIT_PK_WexpBus_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WRail,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WRail.csv,TRANSIT_PK_WRail_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WCRail,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WCRail.csv,TRANSIT_PK_WCRail_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WBus,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_WBus.csv,TRANSIT_PK_WBus_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DexpBus,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DexpBus.csv,TRANSIT_PK_DexpBus_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DRail,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DRail.csv,TRANSIT_PK_DRail_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DCRail,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DCRail.csv,TRANSIT_PK_DCRail_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DBus,InitialWaitTime,,,Outbound,0,1,100,Time,100,,MODE_HBW_Inc1_DBus.csv,TRANSIT_PK_DBus_InitialWaitTime.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WexpBus,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WexpBus.csv (^T),TRANSIT_PK_WexpBus_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WRail,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WRail.csv (^T),TRANSIT_PK_WRail_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WCRail,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WCRail.csv (^T),TRANSIT_PK_WCRail_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WBus,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_WBus.csv (^T),TRANSIT_PK_WBus_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DexpBus,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DexpBus.csv (^T),TRANSIT_PK_DexpBus_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DRail,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DRail.csv (^T),TRANSIT_PK_DRail_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DCRail,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DCRail.csv (^T),TRANSIT_PK_DCRail_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,DBus,InitialWaitTime,,,Return,1,1,100,Time,0,,MODE_HBW_Inc1_DBus.csv (^T),TRANSIT_PK_DBus_InitialWaitTime.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_InitialWaitTime,Inc1_NTDlta_Costs,Inc1_InitialWaitTime
Inc1,HBW,WexpBus,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_WexpBus.csv,FARE_WexpBus_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WRail,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_WRail.csv,FARE_WRail_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WCRail,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_WCRail.csv,FARE_WCRail_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WBus,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_WBus.csv,FARE_WBus_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,DexpBus,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_DexpBus.csv,FARE_DexpBus_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,DRail,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_DRail.csv,FARE_DRail_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,DCRail,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_DCRail.csv,FARE_DCRail_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,DBus,Fare,,,Outbound,0,1,100,Money,100,,MODE_HBW_Inc1_DBus.csv,FARE_DBus_PK.csv  (100%|100%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WexpBus,Fare,,,Return,1,1,100,Money,0,,MODE_HBW_Inc1_WexpBus.csv (^T),FARE_WexpBus_PK.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WRail,Fare,,,Return,1,1,100,Money,0,,MODE_HBW_Inc1_WRail.csv (^T),FARE_WRail_PK.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WCRail,Fare,,,Return,1,1,100,Money,0,,MODE_HBW_Inc1_WCRail.csv (^T),FARE_WCRail_PK.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
Inc1,HBW,WBus,Fare,,,Return,1,1,100,Money,0,,MODE_HBW_Inc1_WBus.csv (^T),FARE_WBus_PK.csv  (100%|0%),Inc1_NTDlta_Benefits,Inc1_Fare,Inc1_NTDlta_Costs,Inc1_Fare
